,Product,Review,Negative,Neutral,Positive,sentiment
17,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","When you chargeing it , it's start lagging and chargeing off then it's ok..but battery capacity very poor",25.6,74.4,0,neu
18,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Product has not work properly,0,100,0,neu
19,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Product bahut accha h bilkul new jaise hi h but mere laptop ki Battery 🔋 life bahut h,net speed bahut acchi h fast loading h",0,100,0,neu
20,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Good Laptop...value for money,0,50.8,49.2,neu
21,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Good,0,0,100,pos
22,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Kebord problem baitry problem,73,27,0,neg
23,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","I was quite scared about a refurbished laptop but when I unboxed the laptop I became very happy. It is almost scratch less device and a very rear used laptop, battery health is also good. First time I had bought something refurbished but my trust on Amazon was always there. It is really a good experience. Thank you reseller and thank you Amazon as well.",2.4,62.2,35.4,neu
24,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Guys,I purchased this system for home use and never wanted to spent a lot on a new laoptop which will be used by my kids. The config is supergood and it comes with pre-loaded windows and office which is a killer deal.The after sales team was good too. I had some issues with the machine i received and they asked me to return it for repairs and  within a week they replaced it with another one. The experience was really good will recommend the  product and the seller.23/ jan /23 review . i will  update few months later too",4,87.8,8.2,neu
25,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","First day review :Laptop is good, working perfectly and looking like new",0,48.4,51.6,pos
26,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I was quite reluctant to buy at first but decided to just give it a try and place my order.I received my laptop and to my surprise it was in a really good condition.Booting was really quick and all the specs were as mentioned in the description. Thank you.It's value for money.,2.7,75.9,21.5,neu
27,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",लैपटॉप तो पसंद है मगर बैटरी बैकअप बिल्कुल नही है ।,0,100,0,neu
28,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Package was delivered smoothly no issues at all very well packed. When I opened the package and turned on the laptop it simply said no bootable device found (which meant there was no hard drive in it) I contacted Amazon customer service they filed an investigation on that rather than offering me a refund on return or a replacement and asked me to wait for almost 7-10 working days. Later that day I reached out to the seller he told me to get it checked at Dell store. I went there they opened and checked the hard drive was no properly attached and was loosened. Dell store fixed it I have to pay the charges as it was renewed so they didn't cover it under warranty or so. Later down the week the laptop was not getting turned on ( the motherboard was dead, post verifying it with Dell I reached amazon) I again contacted Amazon customer service they simply said return window is closed no actions can be taken. Without any second doubt without asking and listening to my perspective they slapped resolution on my face that no actions can be taken. The way of communicating this was way too rude!! Amazon has hired a bunch on incompetent individuals who are not capable enough to be in a customer service industry. They're not even following the basic Amazon contact tenets. Long story short I'm still following up with the seller to get it replaced or refunded. Indeed Amazon India services are declining drastically. They're not earth's most customer centric company anymore! It's my humble request to you people please do not buy a renewed product!",9.8,83.2,7,neu
29,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","The product I received was really in good condition but later it had some issue, and the support I received from rent o pc was really helpful and they have sorted the issue very quickly and reissued the laptop Thanks",0,72.5,27.5,neu
30,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I got it on 3 feb.I got one with windows 11 pro it's good for regular use but if u have to perform big tasks like Android studio it can take much time.but yeah it's a value for money product,0,76.4,23.6,neu
31,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Good laptop,0,25.6,74.4,pos
32,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","I was a little reluctant for my first refurbished purchase of something important like this Latitude. However, satisfied with its outer hardware looks with unnoticeable minor scratch. Post review of hardware configuration and performance, it turned out to be meeting my expectations as desired. One must not be that desirous for something which doesn’t cost is much but the only one little Con I noticed which maybe significant to others that is the Keyboard. In india we are used to US keyboard layout but this Latitude is from UK, you may Google how it looks so one would need to get used to it. Overall 4 out of 5. Great deal!",2.4,85.4,12.2,neu
33,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",LAPTOP WORKING FINE.SELLOR IS ALSO SUPPORTIVE  SPEED IS FINE.WORKING OVER ALL GOOD.,0,66.2,33.8,neu
34,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I have purchased this renewed laptop via rentopc and it was unbelievable that I got very nice product.Till now I have not faced any issues with the laptop.. I also got the service support which is excellent 👌,0,65.4,34.6,neu
35,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Like the product. It is good for office use,0,56.5,43.5,neu
36,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Nice service and instant response. No waiting nothing.Thanks to ASC,16.9,61.5,21.5,neu
37,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","The media could not be loaded.
                



 Excellent product. Initially I had some challenge with my Windows software. Surprisingly, the service by Ms. Teena was super prompt. I received the serviced laptop within 5 days of pick up for the Windows issue and the working condition is now excellent, zero complains. Highly recommend RentoPc for their reliability and very good product quality.",7.4,70,22.6,neu
38,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",It's been 5 months i am using the laptop. Product performance is good. I took service support for bettery issue which was resolved immoderately.,0,74.2,25.8,neu
39,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",not bad average,0,41.2,58.8,pos
40,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Within 2 months the laptop is not starting. I used very briefly in the last 2 months.Why is Amazon helping these worst products to be sold on Amazon?I am canceling my Amazon subscription, Amazon is directly responsible for allowing so poor products to be sold on Amazon. I will write email to Jeff Bezos as well.Update... on 10 Sept 2022After getting phone number of Seller from Amazon Customer service and contacted seller on WhatsApp.The seller had repaired the laptop and it is now in working condition.Increasing the rating from 1 to 4. Hope fully the laptop will work beyond the warranty period.",7,78.3,14.8,neu
41,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Even tough it is heavy, but it is pretty fast with i5 processor. I find it very useful if you use it at home.",4.1,68.1,27.9,neu
42,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I like this product actually i love this product btw thank you so much for this type of product,0,63.5,36.5,neu
43,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Best deal,0,19.2,80.8,pos
44,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Poor screen quality, good performance",34.4,33.3,32.2,neg
45,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Great machine.,0,19.6,80.4,pos
46,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Some physical scratches is seen, but software performance is very good.",0,70,30,neu
47,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Happy with the product,0,44.8,55.2,pos
48,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Product good condition but heating problem,37.4,42.1,20.5,neu
49,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Very Good Services Provided by Seller,0,61,39,neu
50,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Good for value,0,15.9,84.1,pos
51,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Good laptop quality 😊Good service 👍,0,47.3,52.7,pos
52,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Overall this laptop is working fine. Its battery life is also good but after reaching 40% it suddenly drops... Its screen is very good and antiglare which is unique feature of Dell.,0,74,26,neu
53,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",It's was really amazing 😍 Renewed Laptop thankyou so much Amazon ❣️🌹,0,50.8,49.2,neu
54,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Very useful for renued laptop,0,55.6,44.4,neu
55,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I ordered the same laptop.The condition of the laptop was well and good .But it's internal storage is only 128 GB.Dissappointed with that.You may not get a product with the features described😐😐😐.,0,91.1,8.9,neu
56,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",We use this for learning...,0,100,0,neu
57,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Product Quality Very good , Battery Average  not good not bad, Working Smoothly .",25.2,58,16.8,neu
58,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",The laptop I received is in perfect condition,0,65.4,34.6,neu
59,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Excellent,0,0,100,pos
60,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Thr product is functioning optimally as per specified details,0,77.7,22.3,neu
61,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Nice laptop,0,26.3,73.7,pos
62,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",best refurbished product,0,32.3,67.7,pos
63,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Works really well, battery backup is phenomenal. Only problem I’m having is that I want to update my windows to windows 11 but the hardware would not support.",15,76,9,neu
64,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Product is good and worth money,0,45.5,54.5,pos
65,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",GOOD,0,0,100,pos
66,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Worth it. Camera is good, sound quality is super, but mouse pad not working",0,65.3,34.7,neu
67,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",No issues seen so far. Worth the money,21.2,57.8,21,neu
68,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","The media could not be loaded.
                



 It has been 5 months since I purchased the laptop. Initially, it had a few minor glitches and now it has become completely non functional. The laptop doesn't start and even if it did start a few times earlier the display was completely distorted. I tried charging the laptop for 4 hours as per the support person's advise but it didn't make any change.I expect a solution for this at the earliest because all my work is getting affected due to this issue.Please do the needful.Thank you",4,91.1,4.9,neu
69,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Best leptop,0,19.2,80.8,pos
70,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Item was delivered on time with no or minimal contact. Happy with the service and product.,11.1,70.4,18.6,neu
71,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Body damaged issue,59.2,40.8,0,neg
72,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","It is new like product, with minor negligible scratches. I use it for online stock trading. Tally foftware learning. I have no problem so far since I bought.",0,84.5,15.5,neu
73,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",nice product,0,26.3,73.7,pos
74,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Touch pad (mouse) not working properly. adopter not original.They have given compatible adopter. Battery backup also better.Compare to open market cost maybe reduced to some extent.,0,100,0,neu
75,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Its volume is good but Hinge of one side not good,22.1,64,13.9,neu
76,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Very poor battery life. I purchased one month before..Now the battery is damaged...,36.4,63.6,0,neu
77,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","I gifted this product to a need school boy. It appears to be doing the job. The boy is happy. Personally I feel the product is little overpriced and if it was priced below 20 K, I would buy again for redistribution to the needy students",4.8,87.8,7.4,neu
